player_id,headshot,name,jersey,s/c,pos,ht,wt,born,birthplace
8471214,https://assets.nhle.com/mugs/nhl/20242025/WSH/8471214.png,Alex Ovechkin,8,R,L,"6'3""",238,"Sep 17, 1985","Moscow, RUS"
8474189,https://assets.nhle.com/mugs/nhl/20242025/WSH/8474189.png,Lars Eller,20,L,C,"6'2""",208,"May 8, 1989","Rodovre, DEN"
8474590,https://assets.nhle.com/mugs/nhl/20242025/WSH/8474590.png,John Carlson,74,R,D,"6'3""",215,"Jan 10, 1990","Natick, Massachusetts, USA"
8475343,https://assets.nhle.com/mugs/nhl/20242025/WSH/8475343.png,Nic Dowd,26,R,C,"6'1""",193,"May 27, 1990","Huntsville, Alabama, USA"
8475795,https://assets.nhle.com/mugs/nhl/20242025/WSH/8475795.png,Dylan McIlrath,52,R,D,"6'5""",232,"Apr 20, 1992","Winnipeg, Manitoba, CAN"
8475958,https://assets.nhle.com/mugs/nhl/20242025/WSH/8475958.png,Michael Sgarbossa,23,L,C,"6'0""",179,"Jul 25, 1992","Campbellville, Ontario, CAN"
8476880,https://assets.nhle.com/mugs/nhl/20242025/WSH/8476880.png,Tom Wilson,43,R,R,"6'4""",220,"Mar 29, 1994","Toronto, Ontario, CAN"
8477845,https://assets.nhle.com/mugs/nhl/20242025/WSH/8477845.png,Trevor van Riemsdyk,57,R,D,"6'3""",191,"Jul 24, 1991","Middletown, New Jersey, USA"
8477944,https://assets.nhle.com/mugs/nhl/20242025/WSH/8477944.png,Jakub Vrana,13,L,L,"6'0""",190,"Feb 28, 1996","Prague, CZE"
8477947,https://assets.nhle.com/mugs/nhl/20242025/WSH/8477947.png,Sonny Milano,15,L,L,"6'0""",194,"May 12, 1996","Massapequa, New York, USA"
8478233,https://assets.nhle.com/mugs/nhl/20242025/WSH/8478233.png,Andrew Mangiapane,88,L,L,"5'10""",184,"Apr 4, 1996","Toronto, Ontario, CAN"
8478440,https://assets.nhle.com/mugs/nhl/20242025/WSH/8478440.png,Dylan Strome,17,L,C,"6'3""",200,"Mar 7, 1997","Mississauga, Ontario, CAN"
8478911,https://assets.nhle.com/mugs/nhl/20242025/WSH/8478911.png,Matt Roy,3,R,D,"6'2""",210,"Mar 1, 1995","Detroit, Michigan, USA"
8479345,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479345.png,Jakob Chychrun,6,L,D,"6'2""",205,"Mar 31, 1998","Boca Raton, Florida, USA"
8479390,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479390.png,Taylor Raddysh,16,R,R,"6'3""",198,"Feb 18, 1998","Caledon, Ontario, CAN"
8479400,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479400.png,Pierre-Luc Dubois,80,L,L,"6'4""",225,"Jun 24, 1998","Ste-Agathe-des-Monts, Quebec, CAN"
8479520,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479520.png,Brandon Duhaime,22,L,R,"6'2""",200,"May 22, 1997","Coral Springs, Florida, USA"
8480796,https://assets.nhle.com/mugs/nhl/20242025/WSH/8480796.png,Martin Fehervary,42,L,D,"6'2""",199,"Oct 6, 1999","Bratislava, SVK"
8480823,https://assets.nhle.com/mugs/nhl/20242025/WSH/8480823.png,Alexander Alexeyev,27,L,D,"6'4""",213,"Nov 15, 1999","St. Petersburg, RUS"
8480873,https://assets.nhle.com/mugs/nhl/20242025/WSH/8480873.png,Rasmus Sandin,38,L,D,"5'11""",182,"Mar 7, 2000","Uppsala, SWE"
8481580,https://assets.nhle.com/mugs/nhl/20242025/WSH/8481580.png,Connor McMichael,24,L,C,"6'0""",180,"Jan 15, 2001","Ajax, Ontario, CAN"
8481656,https://assets.nhle.com/mugs/nhl/20242025/WSH/8481656.png,Aliaksei Protas,21,L,C,"6'6""",225,"Jan 6, 2001","Vitebsk, BLR"
8482148,https://assets.nhle.com/mugs/nhl/20242025/WSH/8482148.png,Hendrix Lapierre,29,L,C,"6'0""",180,"Feb 9, 2002","Gatineau, Quebec, CAN"
8479292,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479292.png,Charlie Lindgren,79,R,G,"6'2""",179,"Dec 18, 1993","Lakeville, Minnesota, USA"
8480313,https://assets.nhle.com/mugs/nhl/20242025/WSH/8480313.png,Logan Thompson,48,R,G,"6'4""",205,"Feb 25, 1997","Calgary, Alberta, CAN"
