date,time,home_team,away_team,is_home
2024-10-12,07:00 PM,Washington Capitals,New Jersey Devils,True
2024-10-15,07:00 PM,Washington Capitals,Vegas Golden Knights,True
2024-10-17,07:00 PM,Washington Capitals,Dallas Stars,True
2024-10-19,07:00 PM,New Jersey Devils,Washington Capitals,False
2024-10-22,06:00 PM,Philadelphia Flyers,Washington Capitals,False
2024-10-23,07:30 PM,Washington Capitals,Philadelphia Flyers,True
2024-10-26,07:00 PM,Tampa Bay Lightning,Washington Capitals,False
2024-10-29,07:30 PM,Washington Capitals,New York Rangers,True
2024-10-31,07:00 PM,Washington Capitals,Montréal Canadiens,True
2024-11-02,05:00 PM,Washington Capitals,Columbus Blue Jackets,True
2024-11-03,05:00 PM,Carolina Hurricanes,Washington Capitals,False
2024-11-06,07:00 PM,Washington Capitals,Nashville Predators,True
2024-11-08,07:30 PM,Washington Capitals,Pittsburgh Penguins,True
2024-11-09,07:00 PM,St. Louis Blues,Washington Capitals,False
2024-11-13,07:30 PM,Washington Capitals,Toronto Maple Leafs,True
2024-11-15,09:00 PM,Colorado Avalanche,Washington Capitals,False
2024-11-17,08:00 PM,Vegas Golden Knights,Washington Capitals,False
2024-11-18,09:00 PM,Utah Utah Hockey Club,Washington Capitals,False
2024-11-21,07:00 PM,Washington Capitals,Colorado Avalanche,True
2024-11-23,07:00 PM,Washington Capitals,New Jersey Devils,True
2024-11-25,07:00 PM,Florida Panthers,Washington Capitals,False
2024-11-27,07:30 PM,Tampa Bay Lightning,Washington Capitals,False
2024-11-29,03:00 PM,Washington Capitals,New York Islanders,True
2024-11-30,07:00 PM,New Jersey Devils,Washington Capitals,False
2024-12-03,07:00 PM,Washington Capitals,San Jose Sharks,True
2024-12-06,07:00 PM,Toronto Maple Leafs,Washington Capitals,False
2024-12-07,07:00 PM,Montréal Canadiens,Washington Capitals,False
2024-12-12,07:00 PM,Columbus Blue Jackets,Washington Capitals,False
2024-12-14,07:00 PM,Washington Capitals,Buffalo Sabres,True
2024-12-16,08:00 PM,Dallas Stars,Washington Capitals,False
2024-12-17,08:30 PM,Chicago Blackhawks,Washington Capitals,False
2024-12-20,07:00 PM,Washington Capitals,Carolina Hurricanes,True
2024-12-22,05:00 PM,Washington Capitals,Los Angeles Kings,True
2024-12-23,07:00 PM,Boston Bruins,Washington Capitals,False
2024-12-28,07:00 PM,Toronto Maple Leafs,Washington Capitals,False
2024-12-29,05:00 PM,Detroit Red Wings,Washington Capitals,False
2024-12-31,12:30 PM,Washington Capitals,Boston Bruins,True
2025-01-02,07:00 PM,Washington Capitals,Minnesota Wild,True
2025-01-04,12:00 PM,Washington Capitals,New York Rangers,True
2025-01-06,07:00 PM,Buffalo Sabres,Washington Capitals,False
2025-01-08,07:30 PM,Washington Capitals,Vancouver Canucks,True
2025-01-10,07:00 PM,Washington Capitals,Montréal Canadiens,True
2025-01-11,08:00 PM,Nashville Predators,Washington Capitals,False
2025-01-14,07:00 PM,Washington Capitals,Anaheim Ducks,True
2025-01-16,07:00 PM,Ottawa Senators,Washington Capitals,False
2025-01-18,07:00 PM,Washington Capitals,Pittsburgh Penguins,True
2025-01-21,09:00 PM,Edmonton Oilers,Washington Capitals,False
2025-01-23,10:00 PM,Seattle Kraken,Washington Capitals,False
2025-01-25,10:00 PM,Vancouver Canucks,Washington Capitals,False
2025-01-28,09:00 PM,Calgary Flames,Washington Capitals,False
2025-01-30,07:00 PM,Ottawa Senators,Washington Capitals,False
2025-02-01,07:00 PM,Washington Capitals,Winnipeg Jets,True
2025-02-04,07:00 PM,Washington Capitals,Florida Panthers,True
2025-02-06,07:00 PM,Philadelphia Flyers,Washington Capitals,False
2025-02-09,12:30 PM,Washington Capitals,Utah Utah Hockey Club,True
2025-02-22,03:00 PM,Pittsburgh Penguins,Washington Capitals,False
2025-02-23,01:00 PM,Washington Capitals,Edmonton Oilers,True
2025-02-25,07:00 PM,Washington Capitals,Calgary Flames,True
2025-02-27,07:00 PM,Washington Capitals,St. Louis Blues,True
2025-03-01,12:30 PM,Washington Capitals,Tampa Bay Lightning,True
2025-03-03,06:30 PM,Washington Capitals,Ottawa Senators,True
2025-03-05,07:30 PM,New York Rangers,Washington Capitals,False
2025-03-07,07:00 PM,Washington Capitals,Detroit Red Wings,True
2025-03-09,03:30 PM,Washington Capitals,Seattle Kraken,True
2025-03-11,10:00 PM,Anaheim Ducks,Washington Capitals,False
2025-03-13,10:30 PM,Los Angeles Kings,Washington Capitals,False
2025-03-15,05:00 PM,San Jose Sharks,Washington Capitals,False
2025-03-18,07:00 PM,Washington Capitals,Detroit Red Wings,True
2025-03-20,07:00 PM,Washington Capitals,Philadelphia Flyers,True
2025-03-22,05:00 PM,Washington Capitals,Florida Panthers,True
2025-03-25,08:00 PM,Winnipeg Jets,Washington Capitals,False
2025-03-27,08:00 PM,Minnesota Wild,Washington Capitals,False
2025-03-30,03:00 PM,Washington Capitals,Buffalo Sabres,True
2025-04-01,07:00 PM,Boston Bruins,Washington Capitals,False
2025-04-02,07:00 PM,Carolina Hurricanes,Washington Capitals,False
2025-04-04,07:00 PM,Washington Capitals,Chicago Blackhawks,True
2025-04-06,12:30 PM,New York Islanders,Washington Capitals,False
2025-04-10,07:30 PM,Washington Capitals,Carolina Hurricanes,True
2025-04-12,07:00 PM,Columbus Blue Jackets,Washington Capitals,False
2025-04-13,06:00 PM,Washington Capitals,Columbus Blue Jackets,True
2025-04-15,08:00 PM,New York Islanders,Washington Capitals,False
2025-04-17,07:00 PM,Pittsburgh Penguins,Washington Capitals,False
